pair_id,architecture,ref_path,search_path,seed_ref,seed_search,noise_a_ref,noise_a_search,noise_b,psf_sigma,scale,rotation,x_true,y_true
9b527853,DRAM,results/dataset\9b527853_ref.png,results/dataset\9b527853_search.png,141331,862032,0.8600080947044556,1.380453911532558,4.262176508221089,0.5727994393100782,0.10569931935000133,0.9192601105070177,229,408
34df0a3a,FinFET,results/dataset\34df0a3a_ref.png,results/dataset\34df0a3a_search.png,528958,136427,0.637795654425009,1.1930036620024014,3.4925820139406363,1.0713833228985272,0.10884354600801946,1.561479781494882,843,241
f95dba7b,DRAM,results/dataset\f95dba7b_ref.png,results/dataset\f95dba7b_search.png,922098,214222,0.5595688316820493,1.4020927120668116,3.2635280039327985,0.5219612691129243,0.09392117883912399,-1.395548768530967,400,741
73c9dc64,FinFET,results/dataset\73c9dc64_ref.png,results/dataset\73c9dc64_search.png,564199,222307,0.7552799996935087,1.3978165078519857,2.829443534708822,0.7663021418546306,0.091147730605145,0.4311080619794345,541,816
1bfc8cba,DRAM,results/dataset\1bfc8cba_ref.png,results/dataset\1bfc8cba_search.png,547103,783460,0.7366511268558134,1.1206813141550849,3.6279577421454596,0.7179879464583314,0.0997275893288972,-0.26854119958736744,906,849
ea0b23e2,FinFET,results/dataset\ea0b23e2_ref.png,results/dataset\ea0b23e2_search.png,84063,58585,0.5601621920568025,1.0218555820341428,4.281358958240592,0.9235998393845195,0.099683596168297,1.3935207905334956,498,619
26c39fa1,DRAM,results/dataset\26c39fa1_ref.png,results/dataset\26c39fa1_search.png,229361,220912,0.5426707699131799,1.304940690860166,3.489975488213119,0.6816057961573275,0.09219946635332617,-1.7856529670431227,607,764
c24d0e42,FinFET,results/dataset\c24d0e42_ref.png,results/dataset\c24d0e42_search.png,850966,397822,0.5533447014333859,1.098085732590076,3.8778735100707817,0.9548750217982089,0.09942511894827964,-0.8307875027722567,353,510
eb39c5e8,DRAM,results/dataset\eb39c5e8_ref.png,results/dataset\eb39c5e8_search.png,202092,295211,0.7356370900853784,1.3263878534751348,4.8640818704269755,0.9624620560478115,0.09287358924220743,-1.2446943911699906,422,479
7f2a3885,FinFET,results/dataset\7f2a3885_ref.png,results/dataset\7f2a3885_search.png,479564,871003,0.9029354045742657,1.242461820455824,2.4665227688021223,0.5081474033822341,0.09386061156925005,-0.2991439486405021,277,572
9cfaed74,DRAM,results/dataset\9cfaed74_ref.png,results/dataset\9cfaed74_search.png,905461,22725,0.8761409594888148,1.1426490376219123,3.0282262170461935,1.0906404217975556,0.09021016787902439,-0.6226971885648385,189,610
babe06e0,FinFET,results/dataset\babe06e0_ref.png,results/dataset\babe06e0_search.png,240526,505624,0.6452389537834646,1.3312845736734418,2.5559500652232874,1.163926946099483,0.1051088620080001,1.8821685346239323,264,912
e80c5a92,DRAM,results/dataset\e80c5a92_ref.png,results/dataset\e80c5a92_search.png,407618,321314,0.8000269612374391,1.3975705671280583,3.706842828532997,1.0455044252221541,0.1067733847568498,-0.09521744390272824,453,394
8f434d23,FinFET,results/dataset\8f434d23_ref.png,results/dataset\8f434d23_search.png,834618,134038,0.5488492824354876,1.431826676168757,4.005901780432628,0.7524640822859923,0.10870843728199062,0.17124885310828564,99,898
23b771bb,DRAM,results/dataset\23b771bb_ref.png,results/dataset\23b771bb_search.png,752845,845779,0.5551325409978691,1.2461120711599836,2.8529689216260445,0.9893568775561143,0.09940835252259358,-1.919882189435989,622,441
e8d04490,FinFET,results/dataset\e8d04490_ref.png,results/dataset\e8d04490_search.png,601643,814150,0.7443772551148158,1.1069638462225666,4.510078303584245,1.106354398317296,0.10679742300611503,-1.8709962677581862,501,194
049099bb,DRAM,results/dataset\049099bb_ref.png,results/dataset\049099bb_search.png,548727,555287,0.7775503003326372,1.0958090322889482,3.9774158516586318,0.7743915432067124,0.10143860065644364,1.966847492533501,429,821
170c12af,FinFET,results/dataset\170c12af_ref.png,results/dataset\170c12af_search.png,636208,352181,0.8996683867701178,1.0090265439374957,2.332206913131791,1.1295995234496752,0.09954790898245668,-1.708267715801258,865,640
2768e7ba,DRAM,results/dataset\2768e7ba_ref.png,results/dataset\2768e7ba_search.png,61480,854961,0.7259162122001603,1.1833352281734628,2.66861222257846,1.1525760525732958,0.10251091957983241,1.6701992055959347,649,578
fcc9d8e0,FinFET,results/dataset\fcc9d8e0_ref.png,results/dataset\fcc9d8e0_search.png,469308,909058,0.8698655317023167,1.0146723349739828,4.4926454687174555,0.7166781934536631,0.09998986675795869,0.7525541435832435,814,236
804f6ec7,DRAM,results/dataset\804f6ec7_ref.png,results/dataset\804f6ec7_search.png,645917,437384,0.6590410382747003,1.0594092799062378,4.21564744855333,0.8943384824113916,0.10138239187545517,-1.6298479841447246,728,906
21af5d26,FinFET,results/dataset\21af5d26_ref.png,results/dataset\21af5d26_search.png,822941,988208,0.994382821062068,1.4560359736250976,4.408707490499905,0.6232216889291271,0.0919266823917435,-0.4079966381318063,234,109
15d77e61,DRAM,results/dataset\15d77e61_ref.png,results/dataset\15d77e61_search.png,763021,202875,0.9377986020766339,1.032357713106119,3.3797496679348953,0.6375991092582122,0.09599858185050048,-0.10525861674650328,348,392
d1fe2a2c,FinFET,results/dataset\d1fe2a2c_ref.png,results/dataset\d1fe2a2c_search.png,469701,563046,0.8280741816120458,1.060445325916961,4.826162984828259,0.8412144847913301,0.10507626169510469,-0.949116833238687,528,548
632a110f,DRAM,results/dataset\632a110f_ref.png,results/dataset\632a110f_search.png,730661,218918,0.7176873941943805,1.2287669165275634,2.931147806500051,0.7799499253582101,0.10315188340057428,-1.5708485013585984,518,367
e8d82709,FinFET,results/dataset\e8d82709_ref.png,results/dataset\e8d82709_search.png,234112,461523,0.7181136995332953,1.3969616239674925,3.5915937540216394,0.9491295132344081,0.09138158357751493,-0.5556484729516677,88,746
b089a48b,DRAM,results/dataset\b089a48b_ref.png,results/dataset\b089a48b_search.png,709640,709390,0.9849087956017977,1.1623395002575292,4.961352686830296,1.140168418007431,0.10631543263961989,-1.4601862285146505,552,388
bfc2dff4,FinFET,results/dataset\bfc2dff4_ref.png,results/dataset\bfc2dff4_search.png,772184,200132,0.7643998053781078,1.136392391353163,4.664019584642922,0.8073520343193131,0.09523599366509483,1.6308137398135405,201,277
b6b9d0d5,DRAM,results/dataset\b6b9d0d5_ref.png,results/dataset\b6b9d0d5_search.png,830182,469258,0.6432032150378837,1.4573329757589608,2.8588876508654852,0.540803462455692,0.09862334958363242,0.3188424787611992,111,798
d72f8b77,FinFET,results/dataset\d72f8b77_ref.png,results/dataset\d72f8b77_search.png,551190,8212,0.6614109627637563,1.0152723095173428,2.828292121407311,1.1412208762209293,0.09647962142398947,0.8794978988374016,329,68
